"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"14609","Q8C0V9-1;Q8C0V9;Q8C0V9-2",NA,NA,NA,NA,NA,NA,NA," -0.02",NA
"14610","Q8C0V9-1;Q8C0V9;Q8C0V9-2"," 0.49"," 0.23"," 0.45"," 0.07","-0.19","-0.14"," -0.09"," -0.35",NA
"14612","Q8C0V9-1;Q8C0V9;Q8C0V9-2",NA," 0.76"," 1.47",NA,NA,NA,NA,NA,NA
"14613","Q8C0V9-1;Q8C0V9;Q8C0V9-2"," 0.12","-0.16"," 0.42","-0.36"," 0.00"," 0.05"," -0.39"," -0.24"," 0.12"
"14614","Q3UFK8;Q8CEN3"," 0.40","-0.29"," 0.48"," 2.64",NA," 0.64",NA,NA,NA
"14615","Q3UFK8;Q8CEN3","-0.28",NA,NA,NA,"-1.13","-1.92",NA,NA,"-1.47"
"14616","Q3UFK8;Q8CEN3",NA,"-0.80",NA," 2.64",NA,NA,NA,NA,NA
"14617","Q3UFK8;Q8CEN3","-0.65","-0.34","-0.41"," 2.64",NA,NA,NA," -1.83",NA
"14618","Q3UFK8;Q8CEN3","-0.51"," 0.13"," 3.97"," 0.67"," 0.58"," 0.64","  0.73","  0.94",NA
"14619","Q3UFK8;Q8CEN3"," 0.17"," 0.14"," 2.28"," 0.51"," 0.59"," 0.59","  0.73","  0.91"," 0.52"
"14620","Q3UFK8;Q8CEN3",NA,NA,NA,NA,NA,NA,NA," -1.38",NA
"14621","Q3UFK8;Q8CEN3",NA,NA,NA,NA,NA,NA,NA,NA,"-2.53"
"14623","Q3UFK8;Q8CEN3","-0.35",NA,"-0.94",NA,NA,NA,NA," -1.19",NA
"14629","Q8C180"," 0.79"," 1.01"," 1.04"," 0.89","-0.49",NA,"  0.84","  0.35",NA
"14630","Q8C180"," 3.64",NA,NA,NA,NA,NA,NA,NA,NA
"14631","Q8C180"," 4.28"," 2.14"," 3.12",NA,NA,NA,NA,NA,NA
"14632","Q8C180"," 4.47"," 2.14"," 2.76",NA,NA,NA,NA,NA,NA
"14633","Q8C180"," 4.47"," 1.08"," 3.12",NA,NA,NA,NA,NA,NA
"14634","Q8C180"," 3.64",NA," 3.48",NA,NA,NA,NA,NA,NA
