"","Uniprot.ID","TC.Exp1.20min..log2.","TC.Exp2.20min..log2.","TC.Exp3.20min..log2.","LY.Exp1.Insulin.Starved..log2.","LY.Exp2.Insulin.Starved..log2.","LY.Exp3.Insulin.Starved..log2.","MK.Exp1.Insulin.Starved..log2.","MK.Exp2.Insulin.Starved..log2.","MK.Exp3.Insulin.Starved..log2."
"10307","Q91VR5;Q3V1Z7;Q8BKG1;Q922B8"," 0.26"," 0.00","-0.02","-0.17"," 0.08","-0.06","  0.08","  0.18",NA
"10308","Q91VR5;Q3V1Z7;Q8BKG1;Q922B8"," 0.27",NA," 0.03",NA,NA,NA," -1.12"," -1.01",NA
"10309","Q80Y44;Q3TKX5;Q66JW6;Q7TMM1;Q8BRE3;Q8C751;Q8CFS2","-0.81","-0.22","-0.25"," 0.46",NA,NA,"  0.35","  0.78"," 0.10"
"10310","Q80Y44;Q3TKX5;Q66JW6;Q7TMM1;Q8BRE3;Q8C751;Q8CFS2","-0.67","-0.18","-0.51",NA,NA,NA,NA,NA,NA
"10311","Q80Y44;Q3TKX5;Q66JW6;Q7TMM1;Q8BRE3;Q8C751;Q8CFS2","-0.67","-0.18","-0.51",NA,NA,NA,NA,NA,NA
"10312","Q80Y44;Q3TKX5;Q66JW6;Q7TMM1;Q8BRE3;Q8C751;Q8CFS2","-0.67","-0.17","-0.51",NA,NA,NA,NA,NA,NA
"10313","Q80Y44;Q3TKX5;Q66JW6;Q7TMM1;Q8BRE3;Q8C751;Q8CFS2",NA," 0.10",NA,NA,NA,NA,NA,NA,NA
"10317","Q3U741;Q501J6-1;Q501J6;Q3TU25;Q3U6Y5;Q78W10;Q8K392"," 3.14"," 4.06"," 4.07",NA,NA,NA,NA,NA," 3.84"
"10319","Q3U741;Q501J6-1;Q501J6;Q3TU25;Q3U6Y5;Q78W10;Q8K392"," 2.90"," 2.73"," 3.30",NA,NA,NA,NA,"  2.61"," 2.53"
"10324","Q9JJY4;Q059Z6;Q8BQD9;Q8R4Z6"," 0.75"," 0.95"," 0.76"," 0.63"," 0.67"," 0.33","  0.69","  0.51"," 0.49"
"10325","Q9JJY4;Q059Z6;Q8BQD9;Q8R4Z6",NA,NA," 0.74",NA,NA,NA,NA,NA,NA
"10326","Q9JJY4;Q059Z6;Q8BQD9;Q8R4Z6;Q8R4Z5","-0.10","-0.31"," 0.07","-0.71","-0.28","-0.61",NA," -0.22","-0.80"
"10327","Q9JJY4;Q059Z6;Q8BQD9;Q8R4Z6;Q8R4Z5"," 0.12"," 0.04"," 0.07"," 0.11","-0.26","-0.22",NA," -1.24","-0.22"
"10330","Q9JJY4;Q059Z6;Q8BQD9;Q8R4Z6;Q8R4Z5"," 0.24","-0.29"," 0.23"," 0.11"," 0.15",NA,NA," -0.02",NA
"10332","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.66",NA,NA,NA," 0.42",NA,NA,NA,NA
"10333","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-1.05","-0.15","-0.64"," 0.87"," 0.47"," 0.30","  0.74","  0.23","-0.09"
"10335","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5",NA,"-0.28",NA,NA,NA,NA,NA,NA,NA
"10336","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.89","-0.03","-0.63"," 0.24","-0.15"," 0.01","  0.04"," -0.46"," 0.29"
"10337","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5"," 0.55"," 0.01","-0.33"," 0.04"," 0.07","-0.06","  0.37","  0.28"," 0.70"
"10338","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.57",NA,"-0.42","-0.47",NA,NA,"  0.87","  0.55",NA
"10340","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5",NA,NA,NA," 0.91",NA,NA,NA,NA,NA
"10341","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.77"," 0.02","-0.50"," 0.43"," 0.10"," 0.45","  0.55",NA,NA
"10342","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-1.07"," 0.12","-0.48","-0.74",NA,NA,"  1.04",NA,NA
"10343","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-1.32","-0.38",NA,NA," 0.07",NA,NA,NA,NA
"10346","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.82","-0.08","-0.48"," 0.56"," 0.39",NA,"  0.64",NA,NA
"10347","Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5","-0.82","-0.06","-0.48"," 0.44"," 0.39",NA,"  0.38",NA,NA
"10351","Q9ESV0;Q3U7R4;Q3TLR1;Q3UYV7;Q7TM97;Q9CRZ6"," 1.03",NA,NA,NA,NA,NA,NA,NA,NA
"10353","Q9ESV0;Q3U7R4;Q3TLR1;Q3UYV7;Q7TM97;Q9CRZ6"," 0.81",NA,NA,NA,NA,NA,NA,NA,NA
"10354","Q9ESV0;Q3U7R4;Q3TLR1;Q3UYV7;Q7TM97;Q9CRZ6","-0.21"," 0.14","-0.12",NA,NA,NA,NA,"  0.04",NA
"10355","Q9ESV0;Q3U7R4;Q3TLR1;Q3UYV7;Q7TM97;Q9CRZ6","-0.42","-0.01","-0.31","-0.07"," 0.13",NA,"  0.14"," -0.95"," 0.27"
"10356","Q921N6-1;Q921N6;Q921N6-2;Q3UUG2","-0.36",NA,NA,NA,NA,NA,NA,NA,NA
"10357","Q921N6-1;Q921N6;Q921N6-2;Q3UUG2","-0.40",NA,"-0.23","-0.08"," 0.11","-0.30","  0.18"," -0.14",NA
"10358","Q921N6-1;Q921N6;Q921N6-2;Q3UUG2","-0.40",NA,"-0.23","-0.08"," 0.11","-0.30","  0.18"," -0.14",NA
"10360","Q9CWT6;Q0VBM0"," 0.24",NA,NA," 0.32"," 0.50",NA,NA,NA,NA
"10362","Q8BZS9-2;Q8BZS9"," 0.48"," 0.64"," 0.99"," 0.88"," 0.97"," 1.13",NA,"  0.95"," 1.30"
"10365","Q8BZS9-1;Q8BZS9"," 0.14",NA,NA,NA," 1.10",NA,NA,NA,NA
"10367","Q9DBV3","-0.13","-0.18","-0.18","-0.05"," 0.05"," 0.05"," -0.05"," -0.34",NA
"10368","Q9DBV3","-0.13","-0.18","-0.18","-0.05"," 0.05"," 0.05"," -0.05"," -0.34",NA
"10370","Q8VHK9;A0JLR3;B2RQS6"," 1.32",NA,NA,NA,NA,NA,NA,NA,NA
"10371","Q8VDW0-1;Q8VDW0;Q3T9L0;Q3TIE4;Q3TPL7;Q3U837;Q3UAF1;Q3UVN0;Q9Z1N5;Q3TB18"," 0.22"," 0.36"," 0.43"," 0.69"," 0.87"," 0.93","  0.15","  0.32",NA
"10372","Q8VDW0-1;Q8VDW0;Q3T9L0;Q3TIE4;Q3TPL7;Q3U837;Q3UAF1;Q3UVN0;Q9Z1N5;Q3TB18"," 0.31"," 0.42"," 0.42"," 0.69"," 0.87",NA,"  0.15","  0.75",NA
"10373","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6","-0.27","-0.38","-0.88"," 0.49","-0.78",NA,"  0.44",NA,NA
"10374","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6","-0.65","-0.38","-0.88"," 0.49","-0.78",NA," -3.45",NA,NA
"10375","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6","-0.15",NA,"-0.05",NA,NA,NA,NA," -0.57",NA
"10376","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6","-0.66",NA,"-0.04"," 0.13"," 0.01","-0.07"," -0.06","  0.20",NA
"10377","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6","-0.36",NA,"-0.04"," 0.13","-0.23","-0.07"," -0.06","  0.20",NA
"10378","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6"," 0.00",NA,NA,NA," 0.11",NA,NA,NA,NA
"10379","Q3TI21;Q3U0E0;Q3UAC4;Q9CUY2;Q91VN6",NA,NA," 2.35","-3.41",NA,NA," -3.24","  0.03",NA
"10382","Q810A7-1;Q810A7;Q8VE45;Q9CTM9","-0.11",NA,"-0.38"," 0.23",NA,NA," -0.05",NA,NA
"10383","Q810A7-1;Q810A7;Q8VE45;Q9CTM9","-0.43",NA,"-0.17"," 0.32",NA,NA," -0.05"," -0.72",NA
"10384","Q810A7-1;Q810A7;Q8VE45;Q9CTM9","-0.43",NA,"-0.17"," 0.32",NA,NA," -0.05"," -0.72",NA
"10386","Q810A7-1;Q810A7;Q8VE45;Q9CTM9;Q810A7-2","-0.78",NA,"-0.54"," 0.48"," 0.26"," 0.40","  0.26","  0.41",NA
"10387","Q810A7-1;Q810A7;Q8VE45;Q9CTM9;Q810A7-2",NA,NA,"-0.26",NA,NA,NA,NA,NA,NA
"10388","Q810A7-1;Q810A7;Q8VE45;Q9CTM9"," 2.09",NA,NA,NA,NA,NA,NA,NA,NA
"10390","Q569Z5-1;Q569Z5;Q3UZ56;Q569Z5-2;Q05C73;Q3UUW9;Q9CVD6",NA," 1.46"," 1.22",NA," 1.52",NA,NA,NA,NA
"10391","Q569Z5-1;Q569Z5;Q3UZ56;Q569Z5-2;Q05C73;Q3UUW9;Q9CVD6",NA,NA,NA,NA,NA,NA,"  0.32",NA,NA
"10392","Q569Z5-1;Q569Z5;Q3UZ56;Q569Z5-2;Q05C73;Q3UUW9;Q9CVD6",NA,NA,NA,NA,NA,NA,"  0.32",NA,NA
"10397","Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9;B1ARB8;B1ARB9;O35662;B1ARC0",NA,NA,NA," 0.35",NA,NA,"  0.45",NA,NA
"10398","Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9","-0.06"," 0.38",NA,NA,NA,NA,NA,NA,NA
"10399","Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9",NA,NA," 0.08",NA,NA,NA,NA,"  1.63",NA
"10400","Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9;B1ARB8;B1ARB9;O35662;B1ARC0","-0.51",NA,NA," 0.35",NA,NA,"  0.31",NA,NA
"10401","Q61656;A1L333;Q3UXW3;Q3V0Z8;Q5U222;Q8BTS0;Q921Y3;Q9CSD9;B1ARB8;B1ARB9;O35662;B1ARC0",NA,NA,NA,NA,NA,NA,"  0.45",NA,NA
"10404","Q99MJ9;Q5BKP5;Q8BRU5"," 1.08",NA,NA,NA,NA,NA,NA,NA,NA
"10405","Q99MJ9;Q5BKP5;Q8BRU5"," 1.05"," 2.16",NA,NA,NA,NA,NA,NA,NA
"10407","Q99MJ9;Q5BKP5;Q8BRU5"," 0.07",NA,NA,NA,NA,NA,NA,NA,NA
"10408","Q6P9R1;Q6IS54;Q9D6S8",NA,NA," 1.25",NA,NA,NA,NA,NA,NA
"10409","Q6P9R1;Q6IS54;Q9D6S8","-0.58"," 0.08","-0.56",NA," 0.50",NA,NA,"  0.21"," 0.65"
"10411","Q6P9R1;Q6IS54;Q9D6S8"," 0.18"," 0.82"," 0.14"," 0.73"," 1.07"," 0.98","  0.97","  0.84",NA
"10412","Q6P9R1;Q6IS54;Q9D6S8"," 0.14",NA,"-1.10",NA," 0.75",NA,NA,"  0.46",NA
"10416","Q8CD14;Q8K4L0;Q6IQZ1;Q7TPP4;Q8CD39;Q8VDG2","-1.01",NA,NA,NA," 0.64",NA,NA,"  0.31",NA
"10417","Q8CD14;Q8K4L0;Q6IQZ1;Q7TPP4;Q8CD39;Q8VDG2","-1.01",NA,NA,NA," 0.64",NA,NA,"  0.31",NA
"10420","Q8CD14;Q8K4L0;Q6IQZ1;Q7TPP4;Q8CD39;Q8VDG2","-1.64",NA,NA,NA,NA,NA,NA,NA,NA
"10421","Q8CD14;Q8K4L0;Q6IQZ1;Q7TPP4;Q8CD39;Q8VDG2","-0.78"," 0.09","-0.82"," 0.26"," 0.16"," 0.45","  0.43","  0.28",NA
"10422","Q6ZPL9;Q810A4;Q8BK20;Q9CS87;Q9CSI0","-0.27",NA,NA," 0.17","-2.05",NA,"  0.13","  0.11",NA
"10423","Q6ZPL9;Q810A4;Q8BK20;Q9CS87;Q9CSI0","-0.13","-0.57"," 0.04",NA," 0.18",NA,NA,"  0.07","-0.10"
"10425","Q9DBN9-1;Q9DBN9;Q9DBN9-2","-0.06"," 0.05","-0.22"," 0.04"," 0.12"," 0.03"," -0.01"," -0.04","-0.15"
"10426","Q9DBN9-1;Q9DBN9;Q9DBN9-2","-0.14","-0.24","-0.53",NA,"-0.37","-0.01"," -0.05","  0.02","-0.27"
"10427","P54823",NA," 0.30",NA,NA," 1.03",NA,NA,NA,NA
"10429","O70133-2;O70133;Q05BR6;Q3TEB2;Q3TF92;Q3UR42","-0.54"," 0.00","-0.25"," 0.65"," 0.60"," 0.57","  0.70","  0.46","-0.51"
"10430","O70133-2;O70133;Q05BR6;Q3TEB2;Q3TF92;Q3UR42;O70133-3;O70133-1",NA,NA,NA,"-1.95",NA,NA,NA,NA,NA
"10431","O70133-2;O70133;Q05BR6;Q3TEB2;Q3TF92;Q3UR42;O70133-3;O70133-1",NA,NA,NA,"-1.95",NA,NA," -2.59",NA,NA
"10432","O70133-1;O70133","-0.55"," 0.00",NA," 0.29"," 0.61"," 0.41","  0.64","  0.46",NA
"10433","O88907;Q2M4G9;Q3U556;Q3UWQ0",NA,NA,"-0.34","-1.01",NA,NA,NA,NA,NA
"10434","O88907;Q2M4G9;Q3U556;Q3UWQ0",NA," 1.74","-1.19","-1.01",NA,NA,NA,"  0.98",NA
"10435","O88907;Q2M4G9;Q3U556;Q3UWQ0",NA," 1.74",NA,NA,NA,NA,NA,"  0.98",NA
"10437","O88907;Q2M4G9;Q3U556;Q3UWQ0"," 0.09"," 0.31"," 0.24"," 0.34"," 0.21"," 0.36","  0.70","  0.24"," 0.39"
"10438","O88907;Q2M4G9;Q3U556;Q3UWQ0",NA," 0.34",NA,NA,NA,NA,NA,NA,NA
"10442","Q80UY2-1;Q80UY2;Q80UY2-2",NA," 1.65",NA,NA," 0.74",NA,NA,NA," 0.96"
"10443","Q80UY2-1;Q80UY2"," 0.06","-0.10","-0.19","-0.24","-0.53","-0.06"," -0.02"," -0.61",NA
"10447","Q9WV68;Q3TR93;Q3UEY0;Q3UVJ7"," 0.26",NA," 0.18",NA,"-0.13","-0.34",NA,NA,NA
"10449","Q8CCI5",NA,NA,NA," 1.30",NA,NA,"  1.87",NA,NA
"10450","Q8CCI5",NA,NA,NA," 1.30",NA,NA,"  1.87",NA,NA
"10453","Q8CCI5",NA,NA,NA," 0.05",NA,NA," -0.06",NA,NA
"10455","Q8CCI5",NA,NA," 0.78"," 0.05"," 0.28",NA,"  0.11",NA,NA
"10456","Q8CCI5",NA,NA," 0.78"," 0.05"," 0.28",NA,"  0.28",NA,NA
"10457","Q8CCI5"," 0.16"," 0.15",NA,NA," 0.02"," 0.03",NA,"  0.36",NA
"10458","O88720;Q5DTS4;Q8R388;Q3TPF1;Q3ULB0;Q9CRY1","-0.86",NA,"-1.22",NA,NA," 0.42",NA," -0.31","-0.60"
"10460","O88720;Q5DTS4;Q8R388;Q3TPF1;Q3ULB0;Q9CRY1"," 1.16"," 2.27",NA,NA," 2.26",NA,NA,"  1.89"," 1.71"
"10462","O88720;Q5DTS4;Q8R388;Q3TPF1;Q3ULB0;Q9CRY1","-0.36","-0.22","-0.32",NA,"-0.02"," 0.38","  0.22","  0.33"," 0.21"
"10463","O88720;Q5DTS4;Q8R388;Q3TPF1;Q3ULB0;Q9CRY1","-0.75","-0.18",NA,NA," 0.80"," 0.46",NA,NA," 0.32"
"10464","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.63","-0.02","-0.11","-0.20"," 0.59",NA,NA," -0.03",NA
"10465","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.63","-0.02","-0.11","-0.20"," 0.59",NA,NA," -0.03",NA
"10466","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.63","-0.02","-0.11","-0.20"," 0.59",NA,NA," -0.03",NA
"10467","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.63","-0.02","-0.11","-0.20",NA,NA,NA," -0.03",NA
"10468","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.53",NA,"-0.60",NA," 0.46",NA,NA,"  0.83",NA
"10469","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.53",NA,"-0.60",NA," 0.46",NA,NA,"  0.83",NA
"10470","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.53",NA,"-0.03",NA," 0.46",NA,NA,"  0.83",NA
"10471","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.60","-0.04"," 0.09",NA," 0.26",NA,NA,"  0.00",NA
"10472","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.60"," 0.01"," 0.09",NA," 0.26",NA,NA,"  0.01",NA
"10473","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.60","-0.02"," 0.09",NA,"-0.03",NA,NA,"  0.00",NA
"10474","Q7TNV0;Q3U4W4;Q9CVL7;Q3UR53","-0.60","-0.02"," 0.09",NA,"-0.03",NA,NA,"  0.00",NA
"10475","Q7TNV0;Q3U4W4;Q9CVL7","-0.35","-0.76","-0.37",NA," 0.26"," 0.33",NA,"  0.37",NA
"10476","Q8K382;Q5DTW3;A2ALU3","-0.02",NA," 3.44"," 2.57","-0.56",NA,NA,"  4.58"," 3.76"
"10477","Q8K382;Q5DTW3"," 0.89"," 0.96"," 1.10"," 0.71"," 0.19",NA,NA,NA,NA
"10478","Q8K382;A2ALU3"," 0.35",NA,NA,NA," 0.73",NA,NA,NA,NA
"10479","Q8K382;Q5DTW3","-0.24"," 0.10"," 0.09"," 0.05","-0.63","-0.74","  0.57","  0.14","-0.22"
"10480","Q8K382;Q5DTW3"," 0.78",NA," 1.20","-0.33","-0.14"," 0.17","  0.57",NA,NA
"10481","Q8K382;Q5DTW3;A2ALU3"," 4.17"," 3.89",NA,NA," 0.17",NA,NA,NA," 3.89"
"10482","Q8K382;Q5DTW3;P02676;A2ALU3"," 0.16","-0.05","-0.09"," 0.17"," 0.00","-0.14","  0.13"," -0.11","-0.11"
"10483","Q8K382;Q5DTW3;A2ALU3"," 1.84",NA,NA,NA," 1.04",NA,NA,NA,NA
"10484","Q8K382;Q5DTW3","-0.01"," 0.09"," 0.34","-0.41","-0.43","-0.26"," -0.65"," -0.40",NA
"10485","Q8K382;Q5DTW3"," 0.05",NA,NA,NA,"-0.34",NA,NA,NA,NA
"10486","Q8K382;Q5DTW3","-0.09",NA,NA," 0.23","-0.14",NA,"  0.00",NA,NA
"10487","A2ALU3",NA,NA,NA,NA,NA,NA,NA," -0.30",NA
"10488","A2ALU3",NA,NA,NA,NA,NA,NA,NA," -0.30",NA
"10489","A2ALU3",NA,NA,NA,NA,NA,NA,NA,NA," 0.87"
"10490","A2ALU3"," 0.48",NA,NA,NA,NA,NA,NA,"  1.01",NA
"10491","A2ALU3",NA,NA,NA,NA,NA,NA,NA,NA," 0.87"
"10492","A2ALU3","-0.22"," 0.01",NA,NA," 0.85",NA,NA,"  1.01",NA
"10493","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 2.35",NA,NA," 2.22"," 0.72",NA,"  1.91","  1.55"," 1.20"
"10494","Q3U1T9-2;Q3U1T9;Q3U1T9-4","-0.24"," 0.11","-1.03","-0.86","-0.83",NA," -0.55"," -0.92",NA
"10495","Q3U1T9-2;Q3U1T9;Q3U1T9-4","-0.65",NA,"-1.03","-0.86","-0.83",NA," -0.54"," -0.06",NA
"10496","Q3U1T9-2;Q3U1T9;Q3U1T9-4",NA,NA,NA,NA,"-0.04",NA,NA," -0.24",NA
"10497","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 0.36"," 0.17"," 0.30","-0.04","-0.39","-0.46"," -0.14"," -0.28"," 0.15"
"10498","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 0.35"," 0.17"," 0.30","-0.04","-0.14","-0.10"," -0.14"," -0.28"," 0.15"
"10499","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 0.32",NA,NA,"-0.19"," 0.08","-0.39","  0.03","  0.01",NA
"10500","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 0.32",NA,NA,"-0.19"," 0.08","-0.39","  0.03","  0.01",NA
"10501","Q3U1T9-2;Q3U1T9;Q3U1T9-4",NA,NA,NA,NA,NA,NA," -0.61",NA,NA
"10502","Q3U1T9-2;Q3U1T9;Q3U1T9-4"," 1.17"," 2.25",NA," 2.22",NA,NA,"  1.91","  1.55"," 1.20"
"10503","Q8C4S8;B7ZP28"," 3.40"," 3.08"," 2.73",NA," 0.83"," 4.19",NA,NA,NA
"10508","Q8C4S8;B7ZP28",NA,NA," 0.20",NA,NA,NA," -0.79",NA,NA
"10509","Q8C4S8;B7ZP28",NA,NA," 0.20",NA,NA,NA," -0.79",NA,NA
"10510","Q8C4S8;B7ZP28",NA,NA," 0.20",NA,NA,NA," -0.79",NA,NA
"10513","Q924W7-1;Q924W7;Q3TYX0;Q924W7-2",NA,NA,NA,NA," 1.59",NA,NA,NA,NA
"10514","Q924W7-1;Q924W7;Q3TYX0;Q924W7-2",NA,NA,NA,NA," 1.59",NA,NA,NA,NA
"10515","Q924W7-1;Q924W7;Q3TYX0;Q924W7-2",NA,NA,NA,NA,"-2.66",NA,NA,NA,NA
"10516","Q924W7-1;Q924W7;Q3TYX0",NA,NA,NA,NA,"-0.12",NA,"  0.30",NA,NA
"10517","Q924W7-1;Q924W7;Q3TYX0",NA,NA,NA,NA,"-0.12",NA,"  0.30",NA,NA
"10518","Q3TZ11;Q8CBI8;Q5DTP4",NA,NA," 0.43"," 0.61","-0.36",NA,NA,NA,NA
"10519","Q3TZ11;Q8CBI8;Q5DTP4","-0.09",NA," 2.83",NA," 0.07","-0.65",NA,NA,NA
"10520","Q3TZ11;Q8CBI8"," 0.04"," 0.14"," 0.66"," 0.90",NA," 1.15","  1.03","  0.78",NA
"10521","Q3TZ11;Q8CBI8;Q5DTP4","-0.86","-0.39","-0.60","-0.51",NA,"-0.31",NA," -0.38",NA
"10522","Q3TZ11;Q8CBI8;Q5DTP4"," 0.03","-0.15"," 0.13",NA,"-0.18","-0.34",NA,NA,NA
"10523","Q3TZ11;Q8CBI8"," 0.15"," 0.27",NA,NA," 0.33"," 0.40",NA,NA,NA
"10524","Q3TZ11;Q8CBI8"," 0.12"," 0.58"," 0.43"," 0.36"," 0.30",NA,"  0.24",NA,NA
"10525","Q3TZ11;Q8CBI8"," 0.12"," 0.58"," 0.43"," 0.36"," 0.30",NA,"  0.32",NA,NA
"10526","Q3TZ11;Q8CBI8;Q5DTP4","-0.14","-0.27","-0.14",NA,"-0.18","-0.21",NA," -0.36",NA
"10527","Q3TZ11;Q8CBI8;Q5DTP4"," 0.24"," 0.23"," 0.33","-0.54",NA,NA,NA,"  0.27"," 0.14"
"10528","Q3TZ11;Q8CBI8;Q5DTP4"," 0.61"," 0.27",NA,"-0.51",NA,NA," -0.32",NA,NA
"10530","Q3TZ11;Q8CBI8;Q5DTP4",NA,NA," 0.24",NA,NA,NA,NA," -0.38",NA
"10532","Q3TZ11;Q8CBI8;Q5DTP4"," 2.86"," 0.32","-0.13"," 1.06","-0.90","-0.38","  0.65"," -0.15"," 0.00"
"10533","Q3TZ11;Q8CBI8;Q5DTP4"," 0.59"," 1.57"," 1.45"," 1.10"," 0.87"," 0.86","  0.60","  0.59"," 0.00"
"10535","Q3TZ11;Q8CBI8;Q5DTP4","-0.16",NA,NA,"-0.33","-0.01","-0.34"," -0.57",NA,NA
"10536","Q3TZ11;Q8CBI8;Q5DTP4"," 2.79",NA," 2.83",NA," 2.33",NA,NA,NA,NA
"10538","Q3TZ11;Q8CBI8;Q5DTP4"," 1.25"," 0.32",NA,NA," 0.78",NA,NA,NA," 0.78"
"10539","Q3TZ11;Q8CBI8;Q5DTP4"," 0.10",NA,NA,NA,NA,NA,NA,NA,"-0.23"
"10540","Q3TZ11;Q8CBI8;Q5DTP4",NA,NA," 0.55"," 0.61",NA,NA,NA,NA,NA
"10541","Q3TZ11;Q8CBI8;Q5DTP4",NA,NA," 0.32",NA,"-0.36",NA,NA,NA,NA
"10542","Q3TZ11;Q8CBI8;Q5DTP4"," 3.50"," 3.36"," 4.04",NA," 2.87",NA,"  2.93","  3.99"," 0.96"
"10543","Q3TZ11;Q8CBI8;Q5DTP4",NA,NA,NA,NA,NA,NA,NA,"  3.98",NA
"10545","Q3TZ11;Q8CBI8;Q5DTP4"," 0.03",NA,NA,NA,"-0.24",NA,NA," -0.21",NA
"10547","Q3TZ11;Q8CBI8;Q5DTP4",NA," 3.39",NA,NA,NA,NA,NA,NA,NA
"10549","Q3TZ11;Q8CBI8"," 0.94",NA,NA," 0.84",NA,NA,NA,NA,NA
"10550","Q3TZ11;Q8CBI8",NA,NA,NA," 0.84",NA,NA,"  0.50",NA,NA
"10551","Q3TZ11;Q8CBI8"," 0.14",NA," 0.18",NA,NA,NA,NA,NA,NA
"10553","Q3TZ11;Q8CBI8"," 1.74"," 1.00",NA,NA," 0.77",NA,"  0.88","  1.36",NA
"10554","Q3TZ11;Q8CBI8","-0.39",NA,NA,NA,NA,NA," -1.36",NA,NA
"10556","Q3TZ11;Q8CBI8",NA,NA,NA,NA," 0.04",NA,NA,"  1.74",NA
"10557","Q3TZ11;Q8CBI8"," 0.09","-0.08"," 0.32","-0.35","-0.17","-0.16"," -0.07","  0.06"," 0.04"
"10560","Q3TZ11;Q8CBI8;Q5DTP4"," 0.33",NA,NA,NA,NA,NA,NA,NA,NA
"10561","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9"," 0.03",NA," 0.92","-0.24","-1.69",NA," -0.11",NA,NA
"10562","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9"," 1.86",NA,NA,NA," 0.12","-0.36",NA,NA,NA
"10563","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9;A2AJX6",NA,NA," 0.49"," 0.96"," 1.54"," 0.66","  0.94","  0.94"," 1.36"
"10564","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9;A2AJX6"," 1.76"," 2.04"," 1.85"," 1.72"," 1.52"," 1.37","  1.51","  1.80"," 1.89"
"10566","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9;A2AJX6","-1.46","-1.22",NA,"-1.76","-2.35","-2.77"," -1.77"," -1.36","-1.78"
"10568","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9",NA,NA,NA,NA,"-1.28",NA,"-10.07"," -1.48","-1.17"
"10569","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9",NA,NA,NA,NA,NA,NA,NA,NA,"-1.33"
"10572","A2AJX5;A6H8H2;Q3U2K9;Q3U2Y9",NA,NA," 2.53"," 0.94",NA,NA," -0.60",NA,NA
