Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
Q8K3W3,0.12,0.04,0.02,NaN,-0.21,-0.07,NaN,-0.11,NaN
Q8K3W3,0.02,-0.46,-0.30,NaN,NaN,NaN,NaN,-0.80,-0.77
Q8K3W3,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,-0.03,-0.10,-0.19,-0.28,-0.05,-0.10,0.28,0.15,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,-0.20,-0.19,0.10,NaN,NaN,-0.10,NaN,0.24,0.03
Q8K3W3,-0.02,-0.28,-0.02,0.16,0.09,0.03,NaN,0.19,0.10
Q8K3W3,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,-0.48,NaN,-0.68,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8K3W3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-3;O70589;B9EJ23,0.20,0.02,0.22,-0.88,0.28,NaN,-0.17,-0.14,NaN
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0;O70589-3;B9EJ23;O70589-2;B1AUI1;B1AUH5,-0.11,0.21,NaN,NaN,-0.10,-0.46,NaN,NaN,-0.10
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0;O70589-3;B9EJ23;O70589-2;B1AUI1;B1AUH5,-0.11,-0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0;O70589-3;B9EJ23;O70589-2;B1AUI1;B1AUH5,-0.07,NaN,NaN,NaN,NaN,NaN,-0.08,NaN,NaN
O70589-1;O70589;B7ZP42;O70589-5;O70589-4;Q91VJ0;O70589-3;B9EJ23;O70589-2;B1AUI1;B1AUH5,-0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-3;O70589;B9EJ23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O70589-3;O70589;B9EJ23,0.28,0.11,0.31,-0.19,-0.17,-0.25,-0.23,-0.14,NaN
O70589-3;O70589;B9EJ23,-0.01,-0.02,-0.04,-0.27,0.07,-0.28,-0.15,-0.16,-0.18
