Uniprot ID,TC Exp1 20min (log2),TC Exp2 20min (log2),TC Exp3 20min (log2),LY Exp1 Insulin/Starved (log2),LY Exp2 Insulin/Starved (log2),LY Exp3 Insulin/Starved (log2),MK Exp1 Insulin/Starved (log2),MK Exp2 Insulin/Starved (log2),MK Exp3 Insulin/Starved (log2)
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,-0.18,-0.14,-0.20,0.49,0.26,0.26,0.24,0.70,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,NaN,NaN,NaN,NaN,0.37,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,NaN,0.71,NaN,NaN,NaN,2.27,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2;Q8C0G8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2;Q8C0G8,NaN,3.11,0.22,NaN,NaN,NaN,NaN,NaN,0.06
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2;Q8C0G8,0.32,NaN,0.05,-0.08,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2;Q8C0G8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2;Q8C0G8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76,0.02,NaN,NaN,NaN,0.31,0.35,0.05,NaN,NaN
Q7TMY8-1;Q7TMY8;A2AFQ0;Q4JG03;Q7TMY8-3;A2AFQ1;Q3TL29;Q3TMX4;Q3TNP1;Q8BKX3;Q9CU76;Q7TMY8-4;Q7TMY8-2,0.16,NaN,NaN,NaN,0.14,0.13,0.19,NaN,NaN
Q9JKF6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9JKF6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9JKF6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9JKF6;Q6P9M9,-0.17,NaN,NaN,NaN,NaN,-0.11,NaN,NaN,NaN
Q80W14-3;Q80W14;Q80W14-1;Q80W14-2,0.16,0.11,0.61,0.27,-0.19,NaN,0.34,0.01,0.21
Q9CR41-1;Q9CR41;A2ARQ7;Q9CR41-2,1.40,NaN,0.99,NaN,NaN,0.43,NaN,0.74,NaN
Q8BPC3;Q64345;Q4FJY6;Q5FW82;Q3UAB1,NaN,NaN,2.96,NaN,NaN,NaN,NaN,NaN,NaN
Q8BPC3;Q64345;Q4FJY6;Q5FW82;Q3UAB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BPC3;Q64345;Q4FJY6;Q5FW82;Q3UAB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P35601-1;P35601;P35601-2,NaN,-0.72,NaN,0.30,0.64,NaN,0.84,NaN,NaN
P35601-1;P35601;P35601-2,NaN,NaN,NaN,NaN,0.32,0.43,NaN,NaN,NaN
P35601-1;P35601;P35601-2,-0.48,-0.55,-0.35,0.08,0.38,0.38,0.61,0.23,NaN
P35601-1;P35601;P35601-2,-0.48,-0.55,-0.35,0.08,0.51,0.33,0.61,0.23,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,-1.03,3.72,4.29,3.49,4.49,NaN,4.27,5.27,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,2.91,3.76,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,4.07,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,-1.43,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,-1.43,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,-1.43,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,-0.28,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,-0.20,0.19,-0.07,0.77,0.80,0.83,0.76,1.00,0.57
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,1.30,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,2.16,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,1.52,NaN,NaN,1.65,NaN,NaN,2.16,2.14,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,1.52,NaN,NaN,1.65,NaN,NaN,2.01,2.14,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,3.00,NaN,NaN,2.73,3.07,NaN
B9EHE9,2.21,2.24,NaN,1.45,1.59,1.48,NaN,2.21,2.59
B9EHE9,5.31,3.73,2.48,1.45,2.61,3.17,NaN,3.45,3.85
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,2.16,NaN,1.20,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,-0.62,-0.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,-1.43,NaN,4.09,NaN,NaN,NaN,NaN,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,1.46,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,2.46,NaN,NaN,1.46,NaN,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,4.72,NaN,NaN,NaN,NaN,5.27,NaN
B9EHE9;Q6ZPR6-1;Q6ZPR6;Q6ZPR6-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9JKV2;Q3U4K6;Q3V314;Q69ZV0;Q3UZZ3,0.22,0.12,-0.14,0.30,NaN,NaN,0.66,0.29,NaN
Q9JKV2;Q3U4K6;Q3V314;Q69ZV0;Q3UZZ3,0.22,-0.07,-0.14,0.30,NaN,NaN,0.19,0.29,NaN
Q8CGB9;Q9JHR7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8CGB9;Q9JHR7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88844;Q3TJ51;Q5HZJ8;Q8C338;Q0QER9;Q3UAV7,0.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88844;Q3TJ51;Q5HZJ8;Q8C338;Q0QER9;Q3UAV7,NaN,NaN,NaN,NaN,0.21,NaN,NaN,NaN,NaN
O88844;Q3TJ51;Q5HZJ8;Q8C338;Q0QER9;Q3UAV7,NaN,NaN,NaN,NaN,-0.17,NaN,NaN,NaN,NaN
P54071,0.04,-0.07,-0.15,-0.40,NaN,NaN,0.40,-0.09,NaN
Q9D6R2-1;Q9D6R2;Q9D6R2-2,-0.31,NaN,NaN,NaN,-0.07,0.47,NaN,NaN,NaN
Q91VA7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q91VA7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q91VA7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q91VA7,-0.39,-0.62,NaN,NaN,0.54,NaN,-0.46,1.09,NaN
Q91VA7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q91VA7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P70404;Q3TGZ3;Q3TKM5;Q684I8;Q9CW65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P70404;Q3TGZ3;Q3TKM5;Q684I8;Q9CW65,-1.11,NaN,NaN,-0.15,-0.89,0.06,-0.13,-0.02,NaN
P70404;Q3TGZ3;Q3TKM5;Q684I8;Q9CW65,-0.30,-0.26,0.19,NaN,0.27,0.33,NaN,0.18,-0.08
P58044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P17950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P17950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P17950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9R002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D0QMC7;O35368-1;O35368;O35368-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2;Q08619;B7ZNS3,0.49,0.87,0.46,0.96,0.97,0.98,1.32,1.00,1.01
P15092-1;P15092;P15092-2;Q08619;B7ZNS3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2;Q08619;B7ZNS3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2;Q08619;B7ZNS3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15092-1;P15092;P15092-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9D8C4;A2A4Q1,NaN,NaN,NaN,0.05,NaN,NaN,-0.07,NaN,NaN
Q9D8C4;A2A4Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,NaN,NaN,NaN,NaN,NaN,NaN,0.03,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,NaN,NaN,NaN,NaN,NaN,NaN,0.03,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,NaN,NaN,NaN,0.20,NaN,NaN,-0.77,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,0.02,NaN,-0.48,0.03,0.36,NaN,0.12,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,0.30,NaN,NaN,NaN,-0.54,-0.23,NaN,NaN,NaN
Q8R5F7-1;Q8R5F7;Q3TGP5;Q3UE16;Q8R5F7-2;Q3U605,-0.09,-0.50,-0.27,0.03,0.31,NaN,0.12,NaN,NaN
Q9CQW9;Q9D8L6,0.42,NaN,NaN,NaN,0.06,NaN,NaN,NaN,NaN
O35664-2;O35664;Q3UCC3;Q8VHN0;Q923Z5;O35664-1,-0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,0.23,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,-0.27,0.02,0.56,0.31,-0.19,0.09,-0.74,-0.28,0.19
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.26,NaN,NaN,NaN,NaN,-1.53,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,0.16,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,-0.41,-0.01,0.03,-0.16,0.09,0.16,-0.08,0.35,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.20,-0.01,0.03,-0.16,0.27,0.16,-0.08,0.35,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.63,0.52,0.85,0.93,0.21,0.32,0.85,0.40,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,2.03,-0.08,2.27,NaN,1.96,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,-0.91,NaN,NaN,NaN,-0.66,NaN,NaN,-0.30,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.08,NaN,0.14,NaN,NaN,0.06,0.26,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P15261;Q3TW49;Q3U8T2;Q540M5;Q91Y85,0.16,NaN,0.14,0.20,NaN,0.06,NaN,NaN,NaN
Q7TSB3;Q9CW96;Q9D8U0,NaN,NaN,NaN,2.00,NaN,NaN,2.03,NaN,NaN
Q7TSB3;Q9CW96;Q9D8U0,NaN,NaN,NaN,2.00,NaN,NaN,2.03,NaN,NaN
Q7TSB3;Q9CW96;Q9D8U0,NaN,NaN,NaN,2.00,NaN,NaN,2.03,NaN,NaN
Q9ER80;Q8R3Q4;Q923D9,1.20,0.65,0.24,0.79,1.20,1.34,0.81,NaN,0.64
Q9ER80;Q8R3Q4;Q923D9,-0.28,-0.67,0.24,0.79,-0.88,1.34,0.81,NaN,-1.39
Q6KAU2;Q8C8U5;Q8CD77;Q6NWV3;Q8C5U2;Q9ERM4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6KAU2;Q8C8U5;Q8CD77;Q6NWV3;Q8C5U2;Q9ERM4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6KAU2;Q8C8U5;Q8CD77;Q6NWV3;Q8C5U2;Q9ERM4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RSU5;Q2XQY6;Q3TA81;Q6RUU2;Q6ZQ91;Q91VU5,0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B2RSU5;Q2XQY6;Q3TA81;Q6RUU2;Q6ZQ91;Q91VU5;Q3TQ94;Q9JIK6,0.83,NaN,NaN,NaN,0.51,NaN,NaN,NaN,NaN
Q61371;Q3TUP2;Q3UXY9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q61249,2.15,NaN,NaN,NaN,0.16,NaN,NaN,NaN,1.08
P09535;B0LAD8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P09535;B0LAD8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88477,-0.05,-0.03,-0.23,-0.04,-0.18,-0.10,-0.14,-0.22,-0.01
O88477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.32,0.28,NaN,NaN,-0.18,-0.26,NaN,NaN,NaN
Q5SF07-1;Q5SF07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.08,0.06,-0.10,-0.46,0.17,0.09,0.13,0.07,0.14
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.10,0.11,-0.33,0.24,0.78,0.29,0.03,0.73,0.59
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.21,0.08,-0.27,0.15,0.21,0.16,0.57,0.33,0.26
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.32,-0.05,0.35,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,-0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q5SF07-1;Q5SF07;Q5SF07-2;A6X8Z3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9CPN8,-0.29,-0.19,-0.18,0.19,0.12,0.13,0.23,0.28,0.09
Q9CPN8,NaN,NaN,-0.96,-0.79,-0.86,-0.66,-0.23,NaN,NaN
Q9CPN8,-0.33,-0.08,0.05,0.36,-0.01,0.03,0.38,0.12,0.17
Q9CPN8,NaN,NaN,NaN,NaN,NaN,NaN,0.67,NaN,NaN
Q9CPN8,-0.07,-0.06,-0.01,0.10,-0.14,0.01,0.40,NaN,0.21
Q9CPN8,NaN,NaN,-0.63,-0.66,NaN,-0.66,-0.62,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,-0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.90
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,-0.03,-1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,-0.10,0.17,0.18,0.30,-0.02,0.21,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,-0.10,0.14,0.18,0.30,-0.02,0.21,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,0.12,0.05,-0.05,0.08,0.30,0.29,-0.09,0.06,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q07113;B7ZWC4;B9EKB8;Q7TMR1;Q80VF2;Q8C2F9;Q8C6V9;Q8K0J1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q811C8;Q61581;A0A5E1;Q3UFA6;Q3U131,NaN,-0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P40694,NaN,NaN,NaN,NaN,NaN,-0.47,NaN,NaN,NaN
P40694,0.30,0.26,0.10,-0.27,-0.19,-0.08,-0.22,NaN,0.09
P40694,1.34,1.17,1.13,-0.28,NaN,0.78,NaN,NaN,NaN
P40694,NaN,NaN,NaN,-0.28,NaN,-0.58,NaN,NaN,NaN
Q6ZQA6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6PD10;Q3UGJ0;Q6A097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6PD10;Q3UGJ0;Q6A097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q6PD10;Q3UGJ0;Q6A097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q3TJY5;Q8C2T9;Q8C7D0;Q8CDT0;Q95H93;Q9Z1M8,1.37,2.58,NaN,NaN,NaN,NaN,NaN,2.70,0.94
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,0.63,-0.07,NaN,0.45,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,0.03,NaN,NaN,NaN,NaN,NaN,NaN
Q60778;Q564F1;Q80WN1;Q8VC27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,-0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,-0.19,NaN,-0.15,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O88351;Q5D0E0;Q05DR8,0.18,0.21,0.31,NaN,0.07,0.29,NaN,NaN,NaN
Q7TSS3;A3KG32;A3KG33;O88522;A3KG38;Q3UG24;Q924H4;Q8VC91,0.16,0.20,-1.31,NaN,0.37,NaN,NaN,-0.22,0.19
Q8BU00-1;Q8BU00;Q8BU00-2;Q8BU00-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BU00-1;Q8BU00;Q8BU00-2;Q8BU00-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BU00-1;Q8BU00;Q8BU00-2;Q8BU00-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BU00-1;Q8BU00;Q8BU00-2;Q8BU00-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8BU00-1;Q8BU00;Q8BU00-2;Q8BU00-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q61730-1;Q61730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q61730-1;Q61730,0.31,NaN,NaN,NaN,-0.80,NaN,NaN,NaN,NaN
Q00560;Q3TDT5;Q3UQA0;Q6PDI9,-0.28,-0.14,-0.19,0.01,-0.16,-0.30,NaN,0.00,0.34
Q00560;Q3TDT5;Q3UQA0;Q6PDI9,NaN,1.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q00560;Q3TDT5;Q3UQA0;Q6PDI9,0.31,0.04,0.27,NaN,-0.16,-0.82,NaN,-0.70,-0.45
Q00560;Q3TDT5;Q3UQA0;Q6PDI9,0.03,0.21,-0.19,0.01,-0.30,NaN,NaN,-0.20,0.21
Q00560;Q3TDT5;Q3UQA0;Q6PDI9,NaN,NaN,NaN,NaN,-0.35,-0.16,NaN,NaN,NaN
Q9CXY6;Q3UXI9,NaN,NaN,NaN,NaN,-0.11,NaN,NaN,NaN,NaN
